©Çª«¦WºÙ	µ¥¯Å 	¥Í©R­È	°òÂ¦¸gÅç	±¼¸¨ª««~
Snail (¹àÄ_)	1	8	3	Green Headband (ºñ¾v±a)
Snail (¹àÄ_)	1	8	3	White Undershirt (¥Õ¦â¤º¦ç)
Snail (¹àÄ_)	1	8	3	Brown Rocky Suit (½Å¦â¬¥°ò¥~¦ç)
Snail (¹àÄ_)	1	8	3	Sword (¼C)
Snail (¹àÄ_)	1	8	3	Red Potion (¬õ¦âÃÄ¤ô)
Snail (¹àÄ_)	1	8	3	Green Apple («CÄ«ªG)
Snail (¹àÄ_)	1	8	3	Scroll for Helmet for Defense 10% (ÀY²¯¨¾¿m¤O 10% ±²¶b)
Snail (¹àÄ_)	1	8	3	Scroll for Cape for Defense 60% (©Ü­·¨¾¿m¤O 60% ±²¶b)
Snail (¹àÄ_)	1	8	3	Snail Shell (ºñÄ_´ß)
Snail (¹àÄ_)	1	8	3	Bronze Ore («C»É¥ÀÄq)
Snail (¹àÄ_)	1	8	3	Garnet Ore (¥Ûºh¥Û¥ÀÄq)
Blue Snail (ÂÅÄ_)	2	15	4	Undershirt (¤º¦ç/¦½­m)
Blue Snail (ÂÅÄ_)	2	15	4	Blue One-lined T-Shirt («C¦â¹B°ÊT«ò)
Blue Snail (ÂÅÄ_)	2	15	4	Grey / Brown Training Shirt (¦Ç­×·ÒªA)
Blue Snail (ÂÅÄ_)	2	15	4	Red-Striped T-Shirt (¶À¬õµuT)
Blue Snail (ÂÅÄ_)	2	15	4	Grey Thick Sweat Pants (¦Ç¦â¾ó½¦¿Ç)
Blue Snail (ÂÅÄ_)	2	15	4	Grey / Brown Training Pants (¦Ç­×·Ò¿Ç)
Blue Snail (ÂÅÄ_)	2	15	4	Red Potion (¬õ¦âÃÄ¤ô)
Blue Snail (ÂÅÄ_)	2	15	4	Green Apple («CÄ«ªG)
Blue Snail (ÂÅÄ_)	2	15	4	Scroll for Cape for Defense 100% (©Ü­·¨¾¿m¤O 100% ±²¶b)
Blue Snail (ÂÅÄ_)	2	15	4	Blue Snail Shell (ÂÅÄ_´ß)
